,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
5222,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5223,scanpy_wilcoxon,0.9102885451354952,0.8333333333333334,0.9090909090909091,1.0,5_vs_rest,3,svm
5224,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5225,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5226,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5227,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5228,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5229,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,3,svm
5230,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5231,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5232,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5233,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5234,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5235,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5236,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5237,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5238,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5239,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,4,svm
5240,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5241,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5242,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5243,scanpy_wilcoxon,0.9102885451354952,0.8333333333333334,0.9090909090909091,1.0,5_vs_rest,5,svm
5244,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5245,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5246,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5247,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
5248,scanpy_wilcoxon,1.0,1.0,1.0,1.0,5_vs_rest,5,svm
