,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
2443,yomix,0.903367314676032,0.8419452887537994,0.9111842105263158,0.992831541218638,2_vs_rest,15,svm
2444,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,15,svm
2445,yomix,0.9014541623274894,0.8328358208955224,0.9087947882736156,1.0,2_vs_rest,16,svm
2446,yomix,0.903367314676032,0.8419452887537994,0.9111842105263158,0.992831541218638,2_vs_rest,16,svm
2447,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,16,svm
2448,yomix,0.9014541623274894,0.8328358208955224,0.9087947882736156,1.0,2_vs_rest,17,svm
2449,yomix,0.903367314676032,0.8419452887537994,0.9111842105263158,0.992831541218638,2_vs_rest,17,svm
2450,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,17,svm
2451,yomix,0.9014541623274894,0.8328358208955224,0.9087947882736156,1.0,2_vs_rest,18,svm
2452,yomix,0.904947078268661,0.8445121951219512,0.9126853377265239,0.992831541218638,2_vs_rest,18,svm
2453,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,18,svm
2454,yomix,0.9014541623274894,0.8328358208955224,0.9087947882736156,1.0,2_vs_rest,19,svm
2455,yomix,0.903367314676032,0.8419452887537994,0.9111842105263158,0.992831541218638,2_vs_rest,19,svm
2456,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,19,svm
2457,yomix,0.9030031474394344,0.8353293413173652,0.9102773246329527,1.0,2_vs_rest,20,svm
2458,yomix,0.903367314676032,0.8419452887537994,0.9111842105263158,0.992831541218638,2_vs_rest,20,svm
2459,yomix,0.9002282322031644,0.8368580060422961,0.9081967213114754,0.992831541218638,2_vs_rest,20,svm
2460,cosg,0.7584288587848057,0.7549668874172185,0.7848537005163512,0.8172043010752689,2_vs_rest,1,svm
2461,cosg,0.7739531253629595,0.7682119205298014,0.7986230636833046,0.8315412186379928,2_vs_rest,1,svm
2462,cosg,0.7534789235641344,0.7593220338983051,0.7804878048780488,0.8028673835125448,2_vs_rest,1,svm
2463,cosg,0.7852177427497485,0.7215909090909091,0.8050713153724247,0.910394265232975,2_vs_rest,2,svm
2464,cosg,0.7875191435408493,0.7223796033994334,0.8069620253164557,0.9139784946236559,2_vs_rest,2,svm
2465,cosg,0.7989761144269509,0.7262569832402235,0.8163265306122449,0.931899641577061,2_vs_rest,2,svm
2466,cosg,0.8132076925426198,0.7262872628726287,0.8271604938271605,0.9605734767025089,2_vs_rest,3,svm
2467,cosg,0.8065653048152072,0.7007672634271099,0.817910447761194,0.982078853046595,2_vs_rest,3,svm
2468,cosg,0.8158236717581843,0.7302452316076294,0.8297213622291022,0.9605734767025089,2_vs_rest,3,svm
2469,cosg,0.882230690627388,0.8198198198198198,0.8921568627450981,0.978494623655914,2_vs_rest,4,svm
2470,cosg,0.8884049965476943,0.8297872340425532,0.8980263157894737,0.978494623655914,2_vs_rest,4,svm
2471,cosg,0.8884049965476943,0.8297872340425532,0.8980263157894737,0.978494623655914,2_vs_rest,4,svm
2472,cosg,0.8918533635470837,0.8263473053892215,0.9004893964110929,0.989247311827957,2_vs_rest,5,svm
2473,cosg,0.8971160697496262,0.8318318318318318,0.9052287581699346,0.992831541218638,2_vs_rest,5,svm
2474,cosg,0.8844201742855166,0.8203592814371258,0.8939641109298532,0.982078853046595,2_vs_rest,5,svm
2475,cosg,0.8924974281991129,0.8244047619047619,0.9008130081300812,0.992831541218638,2_vs_rest,6,svm
2476,cosg,0.8853045723109743,0.824773413897281,0.8950819672131147,0.978494623655914,2_vs_rest,6,svm
2477,cosg,0.8881367689163001,0.8233532934131736,0.8972267536704731,0.985663082437276,2_vs_rest,6,svm
2478,cosg,0.8903185596859925,0.8238805970149253,0.8990228013029316,0.989247311827957,2_vs_rest,7,svm
2479,cosg,0.8912165748368006,0.8283132530120482,0.900163666121113,0.985663082437276,2_vs_rest,7,svm
2480,cosg,0.8874904566671511,0.8253012048192772,0.8968903436988543,0.982078853046595,2_vs_rest,7,svm
2481,cosg,0.8964973172301168,0.8338368580060423,0.9049180327868852,0.989247311827957,2_vs_rest,8,svm
2482,cosg,0.8940304272331581,0.826865671641791,0.9022801302931596,0.992831541218638,2_vs_rest,8,svm
2483,cosg,0.8933947249690667,0.8288288288288288,0.9019607843137255,0.989247311827957,2_vs_rest,8,svm
