,method,mcc,precision,f1_score,recall,label_vs_rest,nb_genes,model
494,yomix,0.7292536095592308,0.7888040712468194,0.8493150684931506,0.9198813056379822,CD4 T_vs_rest,5,svm
495,yomix,0.7352951976445689,0.7835820895522388,0.8525033829499323,0.9347181008902077,CD4 T_vs_rest,6,svm
496,yomix,0.7578745236745346,0.7955112219451371,0.8644986449864499,0.9465875370919882,CD4 T_vs_rest,6,svm
497,yomix,0.7296861088680519,0.8021108179419525,0.8491620111731844,0.9020771513353115,CD4 T_vs_rest,6,svm
498,yomix,0.7433686920513216,0.7866004962779156,0.8567567567567568,0.9406528189910979,CD4 T_vs_rest,7,svm
499,yomix,0.7710518821676772,0.8009950248756219,0.871447902571042,0.9554896142433235,CD4 T_vs_rest,7,svm
500,yomix,0.7478914681054984,0.8194070080862533,0.8587570621468926,0.9020771513353115,CD4 T_vs_rest,7,svm
501,yomix,0.7643436742093517,0.8015075376884422,0.8680272108843538,0.9465875370919882,CD4 T_vs_rest,8,svm
502,yomix,0.8127502989422822,0.8193069306930693,0.893387314439946,0.9821958456973294,CD4 T_vs_rest,8,svm
503,yomix,0.7939509490556889,0.8436657681940701,0.884180790960452,0.9287833827893175,CD4 T_vs_rest,8,svm
504,yomix,0.7804572439511115,0.8075,0.8765264586160109,0.9584569732937686,CD4 T_vs_rest,9,svm
505,yomix,0.80170046890177,0.8159203980099502,0.8876860622462788,0.973293768545994,CD4 T_vs_rest,9,svm
506,yomix,0.7893847228819186,0.8298429319371727,0.8817802503477051,0.9406528189910979,CD4 T_vs_rest,9,svm
507,yomix,0.8073503346381053,0.8307692307692308,0.8913342503438789,0.9614243323442137,CD4 T_vs_rest,10,svm
508,yomix,0.8322040853427928,0.845360824742268,0.9048275862068965,0.973293768545994,CD4 T_vs_rest,10,svm
509,yomix,0.8160199523866103,0.8488063660477454,0.896358543417367,0.9495548961424333,CD4 T_vs_rest,10,svm
510,yomix,0.8124584324271208,0.8333333333333334,0.8940852819807428,0.9643916913946587,CD4 T_vs_rest,11,svm
511,yomix,0.8373126393312558,0.8479381443298969,0.9075862068965517,0.9762611275964391,CD4 T_vs_rest,11,svm
512,yomix,0.8308107448856419,0.8586666666666667,0.9044943820224719,0.9554896142433235,CD4 T_vs_rest,11,svm
513,yomix,0.8095405610865631,0.8257575757575758,0.8922237380627558,0.9703264094955489,CD4 T_vs_rest,12,svm
514,yomix,0.8284909382803562,0.8392857142857143,0.9026063100137174,0.9762611275964391,CD4 T_vs_rest,12,svm
515,yomix,0.8256960365711626,0.856,0.901685393258427,0.9525222551928784,CD4 T_vs_rest,12,svm
516,yomix,0.8168239488270288,0.830379746835443,0.8961748633879781,0.973293768545994,CD4 T_vs_rest,13,svm
517,yomix,0.8328908235831828,0.8435897435897436,0.9050894085281981,0.9762611275964391,CD4 T_vs_rest,13,svm
