Benchmark,DE_Time_Taken,1_features_mcc,1_features_mcc_std,1_features_precision,1_features_precision_std,1_features_recall,1_features_recall_std,1_features_f1,1_features_f1_std,3_features_mcc,3_features_mcc_std,3_features_precision,3_features_precision_std,3_features_recall,3_features_recall_std,3_features_f1,3_features_f1_std,10_features_mcc,10_features_mcc_std,10_features_precision,10_features_precision_std,10_features_recall,10_features_recall_std,10_features_f1,10_features_f1_std,20_features_mcc,20_features_mcc_std,20_features_precision,20_features_precision_std,20_features_recall,20_features_recall_std,20_features_f1,20_features_f1_std
T_LUSC_vs_rest,0.4560079575,0.3559211577,0.01502312642,0.1699462662,0.008074673842,0.8278145695,0.02778301585,0.2819596229,0.01236247981,0.3927740115,0.007617050951,0.1889150269,0.004779813593,0.8900662252,0.0227876166,0.3116160071,0.006591583116,0.504497682,0.02184718986,0.2778607823,0.02649135144,0.9635761589,0.02035818033,0.4303924783,0.03039306826,0.6201517562,0.01409748216,0.4025076093,0.01825549652,0.9814569536,0.009271523179,0.5706043558,0.01797170497
T_HNSC_vs_rest,0.4458532333,0.3624020959,0.005730202934,0.1586824634,0.002986397142,0.9178807947,0.01627576918,0.2705677609,0.004541786795,0.51440694,0.01026794878,0.2893386776,0.01403470899,0.957615894,0.01830499995,0.4440820274,0.01528087307,0.5246102223,0.009477812708,0.2940169622,0.01156275894,0.9774834437,0.01034470156,0.4518874294,0.0129990813,0.5528744153,0.01110036161,0.3244667021,0.01372480602,0.9781456954,0.009845078641,0.4870812297,0.01480211666
N_Head_and_Neck_vs_rest,0.4257121086,0.08371216782,0.009963985928,0.01185057365,0.001171963441,0.7,0.0873678207,0.02330410388,0.002303402992,0.1132021377,0.01266228058,0.02003828823,0.002712193205,0.7076923077,0.07536891516,0.03895128157,0.005198901591,0.2935183316,0.05503636279,0.1029440528,0.05018756248,0.9153846154,0.0873678207,0.1794156672,0.07344057632,0.3844368364,0.02472637961,0.1693087423,0.0429538712,0.9076923077,0.1020499935,0.2801433526,0.04992702135
T_COAD_vs_rest,0.4484922886,0.5715059068,0.01332021917,0.3506240941,0.01289550902,0.9638157895,0.008948335861,0.5140970577,0.0149138069,0.5778246485,0.009653519165,0.3488019131,0.01175056094,0.9894736842,0.007326005741,0.5156503115,0.01245012941,0.5842944999,0.01394212112,0.3545412165,0.01780913385,0.9947368421,0.005735393347,0.5224596365,0.01854261824,0.6211117758,0.01635771065,0.4000854182,0.02215737817,0.9907894737,0.006709236202,0.5695879491,0.02137300519
N_Colon_vs_rest,0.4631416798,0.4317804017,0.005604662198,0.2131763046,0.005172068474,0.9833976834,0.006237642634,0.3503560858,0.00687163624,0.4289988307,0.004510010152,0.2098103253,0.004093306799,0.988030888,0.005019305019,0.3460965882,0.005473901686,0.8636709188,0.01293069812,0.768492731,0.02306428767,0.9803088803,0.007997032887,0.8613420913,0.01386336177,0.8659827559,0.01500021223,0.7707777874,0.02894434513,0.9826254826,0.007575836629,0.8635205116,0.01642433275
T_LGG_vs_rest,0.4441730976,0.4191667016,0.009118913931,0.205868683,0.00787509451,0.92375,0.00875,0.3366215839,0.01057162198,0.4595136762,0.01849400652,0.2337991296,0.01903907419,0.964375,0.01119779554,0.3758902007,0.02395171415,0.5998495415,0.02017012694,0.3892467553,0.02821149393,0.955,0.01334634782,0.5522634077,0.02747637074,0.7414404638,0.01952365149,0.5723739407,0.02956535983,0.975,0.01007782219,0.7208102762,0.02316551752
T_SKCM_vs_rest,0.4375228882,0.7262213592,0.01844153168,0.5728518065,0.02837887646,0.9340425532,0.01587448886,0.7096489427,0.02135374983,0.809981268,0.01726685584,0.6954500811,0.03399639081,0.9517730496,0.01042336061,0.8030275174,0.02008469932,0.8579368117,0.01633023261,0.7648108983,0.02671726329,0.9680851064,0.0131731742,0.8542208995,0.01743844003,0.8742596099,0.01629339726,0.7799720446,0.03011425042,0.985106383,0.008657131642,0.8702065338,0.01831093256
T_STAD_vs_rest,0.453827858,0.422299935,0.008174863768,0.1975812527,0.006888859605,0.96,0.01239354671,0.3276465532,0.009417681078,0.5018570704,0.0106702806,0.2662784796,0.00989929474,0.9848,0.009765244493,0.4191144379,0.01245382906,0.7479167419,0.0154494337,0.5726081807,0.02412773792,0.988,0.008197560613,0.7246662178,0.01885729332,0.757392626,0.01525010939,0.5873316,0.02487546684,0.9872,0.008158431222,0.7361226646,0.01847103975
N_Stomach_vs_rest,0.4418947697,0.5225277228,0.02011286362,0.3779473595,0.02916485821,0.7484126984,0.0232879377,0.5012507477,0.02516481812,0.526478053,0.03165582941,0.3329886019,0.04039002033,0.8658730159,0.02021863366,0.4792283167,0.04154097134,0.5184907938,0.02747136293,0.3140447677,0.03238241571,0.8904761905,0.01871400972,0.4632662696,0.03471506631,0.6374744814,0.01628961638,0.4439187696,0.01813993797,0.9341269841,0.01376932665,0.6016609984,0.01813434914
T_BLCA_vs_rest,0.4499721527,0.3733513469,0.01478925318,0.1928913705,0.0112472426,0.7806451613,0.02669829896,0.3091591497,0.01505066992,0.4436289162,0.02110527324,0.262766253,0.02051033413,0.789516129,0.02586937892,0.3938451072,0.02365589057,0.4070517444,0.01497509179,0.2030814856,0.01286627842,0.8717741935,0.0223635881,0.3291878421,0.01692904178,0.3947869703,0.01741974233,0.1874048982,0.01079644073,0.8927419355,0.03124414617,0.3096744625,0.01581975187
